dataset,id,resolution,sampling,method,width,height,rgb_sha256,ciede2000,cpsnr_rgb,fsim_luma,mae_rgb_255,mse_rgb_255,ssim_luma
uhd240,4K/4K_80/0023.png,4K,cosited_point,scaled_lifting/bicubic,3840,2160,962e4304d2f26e1aecdc91d8b7838d6e991ddec9c239bdf0a345f5b9cb61e084,0.32722976804134796,51.98251624865476,0.9999879002571106,0.3406661522633745,0.4119350405092593,0.9994669662856087
uhd240,4K/4K_80/0023.png,4K,cosited_point,scaled_lifting/bilinear,3840,2160,962e4304d2f26e1aecdc91d8b7838d6e991ddec9c239bdf0a345f5b9cb61e084,0.3049087126861908,52.26285483632254,0.9999870657920837,0.3178975774819959,0.3861845341435185,0.9994949642976771
uhd240,4K/4K_80/0023.png,4K,cosited_point,scaled_matrix/bicubic,3840,2160,962e4304d2f26e1aecdc91d8b7838d6e991ddec9c239bdf0a345f5b9cb61e084,0.20861032731879967,54.650702380494856,0.9999817609786987,0.20470289191100824,0.22284870916923868,0.9995924554885545
uhd240,4K/4K_80/0023.png,4K,cosited_point,scaled_matrix/bilinear,3840,2160,962e4304d2f26e1aecdc91d8b7838d6e991ddec9c239bdf0a345f5b9cb61e084,0.2105416001956178,54.324269753301564,0.999981164932251,0.20955508134002057,0.2402444621270576,0.9996062415498995
uhd240,4K/4K_80/0023.png,4K,cosited_point,v5,3840,2160,962e4304d2f26e1aecdc91d8b7838d6e991ddec9c239bdf0a345f5b9cb61e084,1.6901860134672768,41.15653644173557,0.9996907711029053,1.8139051247427984,4.982263776363169,0.9982259727374247
uhd240,4K/4K_80/0023.png,4K,cosited_point,v5_1,3840,2160,962e4304d2f26e1aecdc91d8b7838d6e991ddec9c239bdf0a345f5b9cb61e084,0.7372210008580986,45.635719956706765,0.999679684638977,1.0534000851980452,1.7762674816743826,0.9981950003580199
uhd240,4K/4K_80/0023.png,4K,cosited_point,v6,3840,2160,962e4304d2f26e1aecdc91d8b7838d6e991ddec9c239bdf0a345f5b9cb61e084,0.4999548415049534,50.149466245789995,0.9998688101768494,0.5199543868955762,0.6282517923739712,0.9986883321025039
uhd240,4K/4K_80/0023.png,4K,cosited_point,v7,3840,2160,962e4304d2f26e1aecdc91d8b7838d6e991ddec9c239bdf0a345f5b9cb61e084,0.47659352258182963,50.68373412506947,0.9998722076416016,0.485425507973251,0.5555292727623456,0.9986814556783378
uhd240,4K/4K_80/0024.png,4K,cosited_point,conventional/bicubic,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.3422639802790726,51.39102917168225,0.9998769760131836,0.4295350678369342,0.4720385239840535,0.9982642451113186
uhd240,4K/4K_80/0024.png,4K,cosited_point,conventional/bilinear,3840,2160,274d25e07f407f7b0c9b9e8ad847bc349950c9219dbd8fbc47c0b29dbf47501a,0.3424958128122873,51.31973243884461,0.9998717308044434,0.42920050475823046,0.4798517875514403,0.9982704340733574
